,Emp34Id,EmpLastName,EmpFirstName,EmpLocationDesc,facility_city,facility_state,facility_zip,EmpDepartment,EmpDepartmentName,EmpPositionDesc,MgrTitle,Mgr34Id,EmpRNExperienceDate,latitude,longitude
19629,32d25270-2942-4ab1-bbfe-3e3e0b1fae5c,Schaefer,Nadim,Ogden Regional Medical Center,Ogden,UT,84405.0,93017,BHU Overhead,Mental Health Prof II Mast PRN,Mgr Behavioral Health/Rehab,8ab2e850-0c81-4584-a45c-18b3d4313274,,41.1739,-111.9809
19652,dfaabe2a-f129-4896-8c45-4cd4920bbccc,Murazik,Nyadongkal,Lakeview Hospital,Bountiful,UT,84010.0,76220,Rehab Services,Physical Therapist PRN,Dir Rehab/Outpatient Svcs,b33fd78f-6ecf-4610-8236-492ada9285a4,,40.8775,-111.8727
19674,27563945-b136-4485-b2af-db590ff18776,DuBuque,Woodrow,Lakeview Hospital,Bountiful,UT,84010.0,89820,Case Management,Case Mgr,CFO,a55c1a8b-747e-46a1-816b-97837647453a,,40.8775,-111.8727
19711,22cd4432-fc2c-4cd7-91fe-37d47034fc6b,Mraz,Deanaglo,St Marks Hospital,Salt Lake City,UT,84124.0,72716,Taylorsville Imaging,Coord CT,Mgr Diagnostic Imaging,5ca26afa-4544-4686-85e3-13f0cd92dceb,,40.6772,-111.8133
19737,bf2934ba-4668-4b41-b192-ef3532000fec,Stokes,Dehab,Ogden Regional Medical Center,Ogden,UT,84405.0,77717,Rehab Therapy,Occupational Therapist PRN,Dir Rehab Svcs,,,41.1739,-111.9809
19755,d387cbb3-79d5-47c3-aa09-8395b12588aa,West,Ashty,St Marks Hospital,Salt Lake City,UT,84124.0,77716,Rehab Therapy,Physical Therapist,Dir Rehab Svcs,,,40.6772,-111.8133
19763,06dec2ee-9cf6-4fbf-a0b0-23abd273b55d,Corwin,Generose,Lakeview Hospital,Bountiful,UT,84010.0,80020,Dietary,Dietitian,Dir Food & Nutrition Svcs,4a7b9d16-2b2c-4c6e-8145-020051164754,,40.8775,-111.8727
19856,12640383-6427-4214-8b9d-d98617877471,Skiles,Magdalin,Ogden Regional Medical Center,Ogden,UT,84405.0,73217,Pathology,Histotechnologist ASCP,Dir Laboratory,,,41.1739,-111.9809
19926,3d582e75-46ca-4de6-8973-fea73e1e9136,Boyle,Laraine,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
19977,45339cda-0434-4f3e-8286-d1fd82549ec5,Hansen,Herndon,Lakeview Hospital,Bountiful,UT,84010.0,91720,Quality Mgmt,Coord Quality,Dir Quality/Risk Mgmt,9524c116-1c97-4b00-b291-d7140e9a4573,7/25/2017,40.8775,-111.8727
19997,ac16c248-4247-42b5-94b0-3f4933a97ae2,Bartoletti,Kathleenann,Ogden Regional Medical Center,Ogden,UT,84405.0,73617,Laboratory,Medical Lab Scientist ASCP PRN,Dir Laboratory,,,41.1739,-111.9809
20000,0a28ee0c-c24c-4e00-b111-6b1fd758a9fa,Conroy,Darrion,Brigham City Comm Hospital,Brigham City,UT,84302.0,71219,Pharmacy,Clinical Pharmacist PRN,Mgr Pharmacy,49c7caf3-f352-45d7-a250-0385db316e24,,41.5079,-112.0152
20025,2b4946ef-d735-48f2-ad9d-41a0b79f91dd,Yundt,Macailen,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
20040,7102a133-5e4d-48f8-8a74-3b4ba28ff193,Eichmann,Stanley g,St Marks Hospital,Salt Lake City,UT,84124.0,73616,Laboratory,Medical Lab Scientist ASCP PRN,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
20116,92aa87f6-8feb-4676-aef4-e0f0a8c130c0,Rosenbaum,Taven,Ogden Regional Medical Center,Ogden,UT,84405.0,79417,FSED Imaging,Coord CT Technologist FSED,Mgr Diagnostic Imaging,aefaa684-2197-4884-83af-7f8b153b761e,,41.1739,-111.9809
20124,3e4303e8-4991-43f3-9c50-13c07b75858b,Gorczany,Zawwin,St Marks Hospital,Salt Lake City,UT,84124.0,75816,Blood Bank,Medical Lab Scientist ASCP PRN,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
20151,c07203d3-ee24-4962-9ee3-0455e44bb921,Blanda,Wendethye,St Marks Hospital,Salt Lake City,UT,84124.0,73616,Laboratory,Medical Lab Scientist ASCP PRN,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
20229,50c6e095-1822-4a6a-bf18-8f6ea143bb19,Herman,Albon,Lone Peak Hospital,Draper,UT,84020.0,91714,Qual Man,Lead Case Mgr,CFO,983306e6-3977-4e29-b810-2090a273bbb5,,40.5046,-111.881
20244,d1bdefc9-59a1-4bb4-ba2b-79afe7fc7e2f,Maggio,Fulgencio,St Marks Hospital,Salt Lake City,UT,84124.0,73416,MRI,Coord MRI,Mgr Diagnostic Imaging,5ca26afa-4544-4686-85e3-13f0cd92dceb,,40.6772,-111.8133
20262,01e2d892-24d8-4a42-909b-b3b3a261f469,Pollich,Bb-virginia,Lone Peak Hospital,Draper,UT,84020.0,75414,Resp Ther,Respiratory Therapist,Mgr Respiratory Therapy,2c5621ab-0a90-4546-af64-e18895d4bf3e,,40.5046,-111.881
20287,ef0e833c-f88f-46f0-a14c-9e8ea3056d6d,Swaniawski,Braunlyn,Timpanogos Regional Medical Ct,Orem,UT,84059.0,73618,Laboratory,Medical Lab Scientist ASCP 7/7,Dir Laboratory,,,40.177,-111.536
20320,febc0235-43e7-40ad-8d22-727023531354,Luettgen,Ty'lee,St Marks Hospital,Salt Lake City,UT,84124.0,76316,Radiology Nuclear Med,Coord Nuclear Medicine,Mgr Diagnostic Imaging,5ca26afa-4544-4686-85e3-13f0cd92dceb,,40.6772,-111.8133
20374,cdaa5cef-cf20-4ef4-abe5-ba792a2fe783,Gibson,Ronalda,Timpanogos Regional Medical Ct,Orem,UT,84059.0,73618,Laboratory,Medical Lab Scientist ASCP PRN,Dir Laboratory,,,40.177,-111.536
20502,9b8abd0a-25ba-4dd3-aec3-34bb117bce23,Deckow,Bg1-jerrierica,Ogden Regional Medical Center,Ogden,UT,84405.0,74217,Cardiac Wellness Center,Exercise Physiologist,Dir Cardiovascular Svcs,f1d187b7-ff97-486f-86fe-2221ffb73df6,,41.1739,-111.9809
20504,9bd72cfb-283d-47ee-96c0-b107dced8225,Mraz,Juquon,Ogden Regional Medical Center,Ogden,UT,84405.0,71217,Pharmacy,Clinical Pharmacist,Dir Pharmacy,b5ec6aaa-3deb-4e09-a21f-cbe0ba0544c1,,41.1739,-111.9809
20572,ba1d2f93-65df-4021-a165-da7d40a849cc,Howell,Spar,Ogden Regional Medical Center,Ogden,UT,84405.0,60017,Nursing Administration,Clinical Support Coord,Dir Critical Care,304e7764-c750-46d5-8eb9-726d8f6da640,6/1/2010,41.1739,-111.9809
20620,5195d9ad-69c3-4a06-ab8c-300d98a4d495,Ullrich,Khankim,St Marks Hospital,Salt Lake City,UT,84124.0,73616,Laboratory,Medical Lab Scientist ASCP PRN,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
20683,a21cb99d-d6e1-4016-a75c-29e565a99326,Kreiger,Albon,Lone Peak Hospital,Draper,UT,84020.0,73614,Lab,Medical Lab Scientist ASCP,Dir Laboratory,,,40.5046,-111.881
20754,d403f55a-c222-4591-95b6-13ac19eb17a3,Stoltenberg,Micaelaflor,Timpanogos Regional Medical Ct,Orem,UT,84059.0,80118,First Assist,First Asst Tech,Dir Surgical Svcs,932e1d5b-faf6-40ee-9de9-ca3c5a1c246b,,40.177,-111.536
20831,296164a5-137b-4be5-b063-259228231ef6,Grimes,Sheandra,Lakeview Hospital,Bountiful,UT,84010.0,71220,Pharmacy,Pharmacist PRN,Dir Pharmacy,0e0f349a-e20b-41b2-a930-471681e7534a,,40.8775,-111.8727
20858,a54a819b-cbe6-483b-b5b1-15ac295d273a,Mertz,Teyanna,Lakeview Hospital,Bountiful,UT,84010.0,72120,Pain Clinic,Coord Intake,Dir Rehab/Outpatient Svcs,b33fd78f-6ecf-4610-8236-492ada9285a4,,40.8775,-111.8727
20911,c6ade285-27d4-4d40-a8e8-daa51fc972f8,Kunze,Anagloria,St Marks Hospital,Salt Lake City,UT,84124.0,80116,First Assist,First Asst Tech-Vein Harvest,Supv Surgery CVOR,04d25c03-7b59-423b-a96a-aff507b0f754,,40.6772,-111.8133
20930,4b5a96c9-905f-4001-9be5-b5179c65ce0f,Conroy,Kareem,Timpanogos Regional Medical Ct,Orem,UT,84059.0,73618,Laboratory,Med Lab Scientist ASCP Lead,Dir Laboratory,,,40.177,-111.536
20947,47c147cb-dca3-40ac-93ff-0894969fc98d,Bradtke,Azaylia,Ogden Regional Medical Center,Ogden,UT,84405.0,93017,BHU Overhead,Recreational Therapist,Mgr Behavioral Health/Rehab,8ab2e850-0c81-4584-a45c-18b3d4313274,,41.1739,-111.9809
20966,18f95298-a456-422d-beb9-37d3589115ed,Cartwright,Bern,St Marks Hospital,Salt Lake City,UT,84124.0,75416,Respiratory Therapy,Respiratory Therapist,Dir Respiratory Therapy,a1af9744-af4d-43b7-993d-eb541aa04b50,,40.6772,-111.8133
20978,147ae13a-12b5-4742-a253-da8fbcf9ee01,Bechtelar,Kamyrn,Ogden Regional Medical Center,Ogden,UT,84405.0,73417,MRI,Coord MRI Technologist,Mgr Diagnostic Imaging,aefaa684-2197-4884-83af-7f8b153b761e,,41.1739,-111.9809
21013,16bb2f18-0148-419c-b931-71a70b233b98,Anderson,Sheralyn,St Marks Hospital,Salt Lake City,UT,84124.0,75416,Respiratory Therapy,Respiratory Therapist,Dir Respiratory Therapy,a1af9744-af4d-43b7-993d-eb541aa04b50,,40.6772,-111.8133
21098,1f021f26-985f-4be4-904b-a874fb797ff6,Bogan,Aldemaro,St Marks Hospital,Salt Lake City,UT,84124.0,76216,Rehab Services,Speech Language Path PRN,Dir OT/PT/ST,37bc2a30-17f3-4465-8b44-9fd58748a62d,,40.6772,-111.8133
21171,877810db-245f-4528-a790-f4e979e27e17,Jakubowski,Tywaun,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist PRN,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
21174,2c7314f0-9ad2-4b97-88bd-1d78819e9ae7,Anderson,Bg-yveline,St Marks Hospital,Salt Lake City,UT,84124.0,76216,Rehab Services,Physical Therapist,Dir OT/PT/ST,37bc2a30-17f3-4465-8b44-9fd58748a62d,,40.6772,-111.8133
21284,a1f5b982-432e-4866-ad53-e3a842d3d21d,Hermiston,Baby-derica,Ogden Regional Medical Center,Draper,UT,84020.0,91727,Ogden Regional Medical Center,Clin Ed Prof Dev Educator,Div VP Clinical Education,c4f924c4-944c-4c31-8d13-5fb435bb6062,,40.5046,-111.881
21304,ef5440b5-9b90-4657-8b21-e08817d83778,Herman,Branzal,St Marks Hospital,Salt Lake City,UT,84124.0,91716,Case Management,Case Mgr,Dir Case Mgmt,,,40.6772,-111.8133
21318,a7af5426-ecf4-4545-8224-9e4e3ab26d16,Williamson,Shelba,St Marks Hospital,Salt Lake City,UT,84124.0,77716,Rehab Therapy,Physical Therapist,Dir Rehab Svcs,,,40.6772,-111.8133
21350,34179bb6-fbd3-4733-bef4-612cfdf38a61,McDermott,Bb-stormi,St Marks Hospital,Salt Lake City,UT,84124.0,76216,Rehab Services,Speech Language Path PRN,Dir OT/PT/ST,37bc2a30-17f3-4465-8b44-9fd58748a62d,,40.6772,-111.8133
21371,b5b67657-e583-4313-94fe-1f253acdd36d,Walker,Darkemia,Lakeview Hospital,Bountiful,UT,84010.0,76220,Rehab Services,Physical Therapist,Dir Rehab/Outpatient Svcs,b33fd78f-6ecf-4610-8236-492ada9285a4,,40.8775,-111.8727
21374,489c9215-fa9a-43af-b6a9-98d9ca91af55,Considine,Bg-wan,St Marks Hospital,Salt Lake City,UT,84124.0,71216,Pharmacy,Clinical Pharmacist 7/7,Mgr Pharmacy Clinical,c23cb93a-37e8-4f5c-8b9c-ed77aba4f72e,,40.6772,-111.8133
21477,b81df73d-0918-4084-8eff-4a03e84a01e6,Balistreri,Baby-tiffanie,Timpanogos Regional Medical Ct,Orem,UT,84059.0,71218,Pharmacy,Pharmacist PRN,Dir Pharmacy,af75327a-c0a1-4591-9bbc-03d848d79994,,40.177,-111.536
21548,16abbcde-6e80-48c5-8419-5e6bdd579efc,Wuckert,Irvine,Timpanogos Regional Medical Ct,Orem,UT,84059.0,91718,Case Management,RN Case Manager PRN,Dir Case Mgmt,,,40.177,-111.536
21557,7964896e-7de6-4015-8550-72e7af837f9d,Kub,Ogden,Lakeview Hospital,Draper,UT,84020.0,90027,Administration,Clin Ed Prof Spec Srv Line WFH,Div Dir Clinical Ed Programs,f6b8b511-fabe-47b2-86cd-def199f5c10a,,40.5046,-111.881
21597,48805763-a204-4281-9c11-ca2268ecbfea,Jakubowski,Ted,Brigham City Comm Hospital,Brigham City,UT,84302.0,76219,Therapy Services,Physical Therapist PRN,Dir Cardiopulm Rehab/PT/ST,29e85b7f-4fa7-45bd-8cda-cb5758f74db5,,41.5079,-112.0152
21639,c39f0edf-a2d0-4ea5-a6c9-76527c59a912,Smitham,Shomarri,Ogden Regional Medical Center,Ogden,UT,84405.0,77717,Rehab Therapy,Occupational Therapist 7/7,Dir Rehab Svcs,,,41.1739,-111.9809
21640,52d0a002-d502-48ad-ba4d-02abfba727ab,White,Honor,Lone Peak Hospital,Draper,UT,84020.0,71214,Pharmacy,Clinical Pharmacist 7/7,Dir Pharmacy,d8d724a2-c851-4ccd-b712-807734647ecd,,40.5046,-111.881
21746,a542ed14-1435-4b39-9b51-08dbcedee45d,Kiehn,Laken,Ogden Regional Medical Center,Ogden,UT,84405.0,73617,Laboratory,Medical Lab Scientist ASCP 7/7,Dir Laboratory,,,41.1739,-111.9809
21751,450bd60f-685e-4a99-8d0d-72d6d76fd250,Volkman,Khalaf,Timpanogos Regional Medical Ct,Orem,UT,84059.0,91718,Case Management,RN Case Manager,Dir Case Mgmt,,,40.177,-111.536
21782,ba84d336-47df-4882-973c-26b25f30d6f3,Kuhlman,Cedell,St Marks Hospital,Salt Lake City,UT,84124.0,71216,Pharmacy,Pharmacist PRN,Mgr Pharmacy Clinical,c23cb93a-37e8-4f5c-8b9c-ed77aba4f72e,,40.6772,-111.8133
21829,4505fbc8-9e2d-4239-9953-6593fd9c4f93,Satterfield,Ellenjane,Lone Peak Hospital,Draper,UT,84020.0,80114,First Assist,First Asst Tech,Mgr Surgery,ab3e867b-4ed5-4d07-88c0-399a23ba2147,,40.5046,-111.881
21842,d1d1c6fb-f0ab-4bd8-9185-59567cf3e72d,Hudson,Franscisco,Ogden Regional Medical Center,Ogden,UT,84405.0,73617,Laboratory,Medical Lab Scientist ASCP 7/7,Dir Laboratory,,,41.1739,-111.9809
21893,5cc6d6e2-b570-46e9-86dc-fcec4d86b261,Nikolaus,Baby-yanelis,Ogden Regional Medical Center,Ogden,UT,84405.0,93017,BHU Overhead,Recreational Therapist,Mgr Behavioral Health/Rehab,8ab2e850-0c81-4584-a45c-18b3d4313274,,41.1739,-111.9809
21897,6f7e1b47-992c-4bce-af70-77893888b9ab,Ebert,Alean,St Marks Hospital,Salt Lake City,UT,84124.0,80116,First Assist,First Asst Tech,Supv Surgery CVOR,04d25c03-7b59-423b-a96a-aff507b0f754,,40.6772,-111.8133
21899,5d35c329-8a6d-4b09-9898-51cc0563cef4,Fritsch,Gorkey,Timpanogos Regional Medical Ct,Orem,UT,84059.0,73618,Laboratory,Medical Lab Scientist ASCP 7/7,Dir Laboratory,,,40.177,-111.536
21901,80b68254-8d37-4d89-9323-9eae67803aec,Quigley,Shirley,Lone Peak Hospital,Draper,UT,84020.0,91527,Lone Peak Hospital,Clin Ed Prof Dev Educator,Mkt Dir Clinical Prof Dev 4,72a1e653-86a8-4788-a111-799f5c02cc8c,,40.5046,-111.881
21957,816a73ac-bb27-4569-9dc8-d473409f1667,Reynolds,Jaylonnie,Ogden Regional Medical Center,Ogden,UT,84405.0,73617,Laboratory,Medical Lab Scientist ASCP 7/7,Dir Laboratory,,,41.1739,-111.9809
21968,b029e9a1-a937-4ff5-97e3-02d69af605f8,Bergnaum,Shafiqul,Ogden Regional Medical Center,Ogden,UT,84405.0,71217,Pharmacy,Clinical Pharmacist,Dir Pharmacy,b5ec6aaa-3deb-4e09-a21f-cbe0ba0544c1,,41.1739,-111.9809
22006,525ff8c7-b483-45df-8c87-04f21504ebc7,Cassin,Valmesha,St Marks Hospital,Salt Lake City,UT,84124.0,75816,Blood Bank,Medical Lab Scientist ASCP PRN,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
22007,886a43fa-d3b9-438e-aa96-8870f9d90593,Schmeler,Jeymar,St Marks Hospital,Salt Lake City,UT,84124.0,80016,Food Services,Clinical Dietitian,Mgr Clinical Nutrition,505974a9-0da3-48a8-836c-5f22e93fea07,,40.6772,-111.8133
22026,abe9a0b6-60e6-48be-ae45-ca05b8f6ff3c,Rodriguez,Vm1-01,Ogden Regional Medical Center,Ogden,UT,84405.0,76217,Therapy Services,Physical Therapist,Dir Physical Therapy,be7b62ac-628d-4d2e-8447-c1896bc6fae9,,41.1739,-111.9809
22099,9634627c-fd8f-433d-b4ec-6c70fec89fe4,Spinka,Sheika,Ogden Regional Medical Center,Ogden,UT,84405.0,76217,Therapy Services,Speech Language Path PRN,Dir Physical Therapy,be7b62ac-628d-4d2e-8447-c1896bc6fae9,,41.1739,-111.9809
22102,7f974aed-9ece-426d-a100-ad33c2b303b9,Goodwin,Terrish,Brigham City Comm Hospital,Brigham City,UT,84302.0,75419,Respiratory Care,Respiratory Therapist PRN,Dir Hyperbaric/Wound Care,e2bc618c-6b61-4dfe-989a-49c7da985528,,41.5079,-112.0152
22130,e834db39-597a-4376-81f8-04f063b7fbf6,Carter,Erinjoel,Brigham City Comm Hospital,Brigham City,UT,84302.0,91719,Case Management,Case Mgr PRN,Mgr Case Mgmt,2f140a84-1000-4f83-9645-df232e958d31,8/1/2011,41.5079,-112.0152
22154,7a9db10a-4fa0-4778-9b6b-751ad397c02f,Hickle,Riser,Lakeview Hospital,Bountiful,UT,84010.0,76020,Adult BH SW and Rec Therapy,Mental Health Prof II Masters,Mgr Behavioral Health Nursing,40d18930-579d-4601-802a-0762caa53c8d,,40.8775,-111.8727
22210,01fc9baf-1695-40cb-be1b-5e4caa78bcc2,Rosenbaum,Fischer,Timpanogos Regional Medical Ct,Orem,UT,84059.0,76418,Radiation Oncology,Radiation Therapist PRN,Dir Diagnostic Imaging,52bf4b79-e0c3-421c-b1e8-af2632b83989,,40.177,-111.536
22211,771ea582-b829-4206-9618-4173d629b7ba,Ritchie,Marel,Ogden Regional Medical Center,Ogden,UT,84405.0,76217,Therapy Services,Coord Spine/Joint,Dir Physical Therapy,be7b62ac-628d-4d2e-8447-c1896bc6fae9,,41.1739,-111.9809
22228,b8b14327-05e6-471e-9ec6-f08bcbc9e1bc,Reynolds,Dmitri,Lakeview Hospital,Bountiful,UT,84010.0,71220,Pharmacy,Pharmacist,Dir Pharmacy,0e0f349a-e20b-41b2-a930-471681e7534a,,40.8775,-111.8727
22250,3160af3d-2a3e-4d86-a775-34b09818423e,Hermann,Bralie,Ogden Regional Medical Center,Ogden,UT,84405.0,76217,Therapy Services,Occupational Therapist,Dir Physical Therapy,be7b62ac-628d-4d2e-8447-c1896bc6fae9,,41.1739,-111.9809
22270,b5cb714f-06c3-45da-b4c4-7b5c4c39eb18,Wuckert,Hezekiah,Lakeview Hospital,Bountiful,UT,84010.0,75420,Respiratory,Respiratory Care Provider,Dir Respiratory Therapy,236cc0f7-d085-4887-8cc0-45387b93d55c,,40.8775,-111.8727
22317,504c93a6-16b8-4a4b-a668-1773c802b4ce,Davis,Theora,Ogden Regional Medical Center,Ogden,UT,84405.0,80017,Food and Nutrition Services,Clinical Dietitian PRN,Dir Food & Nutrition Svcs,f2a2a0db-b8d9-4853-93cd-35d004bee175,,41.1739,-111.9809
22333,962cc3c6-8585-412f-b120-c9d6d22228f3,Witting,Callan,Lakeview Hospital,Bountiful,UT,84010.0,76020,Adult BH SW and Rec Therapy,Mental Health Prof III Lic,Mgr Behavioral Health Nursing,40d18930-579d-4601-802a-0762caa53c8d,,40.8775,-111.8727
22339,5322cbfa-2226-484e-81b7-8c728e714d0a,Russel,Jye,Ogden Regional Medical Center,Draper,UT,84020.0,91727,Ogden Regional Medical Center,Clin Ed Prof Dev Educator,Div VP Clinical Education,c4f924c4-944c-4c31-8d13-5fb435bb6062,,40.5046,-111.881
22350,2556577a-7e4b-4a10-adcd-ee1ad1b322eb,Bednar,Tyquesha,Ogden Regional Medical Center,Ogden,UT,84405.0,73217,Pathology,Histotechnologist ASCP Lead,Dir Laboratory,,,41.1739,-111.9809
22364,89703962-4a74-413e-92ca-65332a2f46cf,Feeney,Huong,St Marks Hospital,Salt Lake City,UT,84124.0,78116,Trauma,Coord Trauma Research,Dir Trauma Program/Research,d052ad10-07d4-407c-a704-64ceb348e637,1/20/2020,40.6772,-111.8133
22412,516a0f8e-c632-49a7-9042-5ef01bffb82e,Durgan,Occeus,Lone Peak Hospital,Draper,UT,84020.0,80014,Dietary,Coord Dietititan,Dir Food & Nutrition Svcs,d13f5744-53e4-49ab-9500-04ca5a0be37f,,40.5046,-111.881
22451,aedd7a16-077c-4bde-bb91-13d2b1e43455,Gleason,Tolline,Lone Peak Hospital,Draper,UT,84020.0,75414,Resp Ther,Respiratory Therapist PRN,Mgr Respiratory Therapy,2c5621ab-0a90-4546-af64-e18895d4bf3e,,40.5046,-111.881
22484,653d400d-a02f-4e0c-8dfa-7a591f56aa35,Watsica,Mallori,St Marks Hospital,Salt Lake City,UT,84124.0,91716,Case Management,Social Worker MSW,Dir Case Mgmt,,,40.6772,-111.8133
22516,a1601740-fbc5-4ebb-9b44-639c3b7e9591,Toy,J-02,St Marks Hospital,Salt Lake City,UT,84124.0,71216,Pharmacy,Advanced Clinical Pharmacist,Mgr Pharmacy Clinical,c23cb93a-37e8-4f5c-8b9c-ed77aba4f72e,,40.6772,-111.8133
22527,e5c240a0-1993-46b0-9e67-c40f948fcb9e,Nader,Granada,HCA Florida Pasadena Hospital,Salt Lake City,UT,84121.0,90012,Administration,Coord Admissions WFH,Dir Rehab Svcs,,,40.6226,-111.7777
22564,4cf3637d-8cf1-4d74-9313-d3d5dc5e202c,Okuneva,Leahshawndra,Ogden Regional Medical Center,Ogden,UT,84405.0,73217,Pathology,Histotechnologist ASCP,Dir Laboratory,,,41.1739,-111.9809
22566,087346bc-b2e1-4e86-8319-25ebd4e645ec,Schroeder,Shanashalundra,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist PRN,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
22590,75bde2d1-a4a0-46fb-90f6-16518dac0c4e,Morar,Jovaughna,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist PRN,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
22665,b73c05e4-b581-4cbb-a216-399339620e36,Howell,Srujani,St Marks Hospital,Salt Lake City,UT,84124.0,91716,Case Management,Social Worker MSW PRN,Dir Case Mgmt,,,40.6772,-111.8133
22677,7dc0e7c3-a7eb-4dbb-a1f9-ce5a178f76cb,Kuvalis,Alpa,St Marks Hospital,Draper,UT,84020.0,91827,St Mark'S Hospital,Clin Ed Prof Dev Educator,Mkt Dir Clinical Prof Dev 4,72a1e653-86a8-4788-a111-799f5c02cc8c,,40.5046,-111.881
22754,0b8d06eb-662b-4d65-9cc7-7cefef7dddd8,Shanahan,Chanceion,Ogden Regional Medical Center,Ogden,UT,84405.0,76217,Therapy Services,Physical Therapist,Dir Physical Therapy,be7b62ac-628d-4d2e-8447-c1896bc6fae9,,41.1739,-111.9809
22787,fcfebd8b-c2a1-409a-be00-5c8e9bfe9774,Spencer,Delores,Timpanogos Regional Medical Ct,Orem,UT,84059.0,91718,Case Management,RN Case Manager,Dir Case Mgmt,,,40.177,-111.536
22791,fd9925a8-3679-4a67-b4e2-f204cb1e8686,Bahringer,Tyre,Lone Peak Hospital,Draper,UT,84020.0,92214,Education,Childbirth Educator PRN,Dir Womens Svcs,299ce1ef-1f79-4216-afba-4ab4ff172dfc,,40.5046,-111.881
22811,668500f4-7012-4e96-be6f-ef3494267746,Hilll,Chrislaine,St Marks Hospital,Salt Lake City,UT,84124.0,71216,Pharmacy,Advanced Clinical Pharmacist,Mgr Pharmacy Clinical,c23cb93a-37e8-4f5c-8b9c-ed77aba4f72e,,40.6772,-111.8133
22856,baff45a6-9248-46ea-b02f-e8a3659b828a,Blick,Nelton,St Marks Hospital,Draper,UT,84020.0,91827,St Mark'S Hospital,Clin Ed Prof Dev Educator,Mkt Dir Clinical Prof Dev 4,72a1e653-86a8-4788-a111-799f5c02cc8c,,40.5046,-111.881
22902,407e479b-0a3b-4c20-9d07-0a37b12a7af3,O'Reilly,Feroz,Lone Peak Hospital,Draper,UT,84020.0,76214,Phy Ther,Occupational Therapist,Lead Physical Therapist,96fa0d9a-6a60-4963-85c9-a6b32653b307,,40.5046,-111.881
22911,48df2f1c-b870-42f6-955a-0659c3284f9e,Hammes,Paigelynn,Ogden Regional Medical Center,Draper,UT,84020.0,90027,Administration,Clin Ed Prof Spec Srv Line WFH,Div Dir Clinical Ed Programs,f6b8b511-fabe-47b2-86cd-def199f5c10a,,40.5046,-111.881
22915,d9a5c683-556f-4cf9-9c7c-e3787b688366,Mertz,Marsel,St Marks Hospital,Salt Lake City,UT,84124.0,75816,Blood Bank,Medical Lab Scientist ASCP 7/7,Mgr Laboratory,e9076df4-01ce-4a3f-b725-7c3d5723f197,,40.6772,-111.8133
22946,dc6625aa-86b4-4b02-8e2f-5db07564e833,Blick,Wilmerd,Timpanogos Regional Medical Ct,Orem,UT,84059.0,80118,First Assist,First Asst Tech-Vein Harv PRN,Dir Surgical Svcs,932e1d5b-faf6-40ee-9de9-ca3c5a1c246b,,40.177,-111.536
23052,10a768a8-b2de-451b-8113-c06c2bf997fb,Homenick,Kymberlee,St Marks Hospital,Salt Lake City,UT,84124.0,70916,Residency Pharmacy,Pharmacy Resident,Supv Pharmacy,a1045b33-4717-4739-aea0-b12b62206fe6,,40.6772,-111.8133
23097,a92bffa9-be73-495d-96b7-c936c02e328e,Murray,Kaybree,Ogden Regional Medical Center,Ogden,UT,84405.0,79617,FSED Lab,Med Lab Scientist ASCP,Dir Laboratory,,,41.1739,-111.9809
23111,e3691d66-4430-4d22-8a3d-106a3f7ec901,Reinger,Antazeus,Ogden Regional Medical Center,Ogden,UT,84405.0,75417,Respiratory Care,Respiratory Therapist,Dir Respiratory Therapy,4ac29cc3-f791-4b22-833c-8c7782a04fc0,,41.1739,-111.9809
23122,4caf99e7-f682-471a-b4a2-531873f235f9,Smith,Jayalin,Timpanogos Regional Medical Ct,Orem,UT,84059.0,91718,Case Management,RN Case Manager PRN,Dir Case Mgmt,,,40.177,-111.536
